municipality_code,grid_cell_index,latitude,longitude,intersection_area_m2,normalized_intersection_weight
027,280,46.1,14.1,62867392.3011119,0.410276616381997
027,281,46.1,14.2,50271956.2329703,0.328077996354273
027,315,46,14.2,2963429.47843702,0.019339529997943
028,197,46.4,16,28537262.0483166,0.979435320380742
028,198,46.4,16.1,599181.629478422,0.0205646796192584
029,94,46.7,15.9,8566629.19259651,0.114888983782519
029,95,46.7,16,18234607.4698641,0.244548406938908
029,128,46.6,15.9,18036524.7472975,0.241891875158565
029,129,46.6,16,29726647.7316163,0.398670734120007
030,218,46.3,14.7,19447723.219906,0.216006418759129
030,219,46.3,14.8,63268474.2028352,0.702724754891633
030,220,46.3,14.9,7316558.69032466,0.0812652269094589
030,253,46.2,14.8,324.068650174491,3.59943977836163e-06
031,28,46.9,16.1,687755.382028823,0.0102895137050671
031,29,46.9,16.2,2074683.16936571,0.0310393512906976
031,62,46.8,16.1,3764652.48336601,0.0563229955513254
031,63,46.8,16.2,53098418.857549,0.794405864103069
031,64,46.8,16.3,5743422.53144655,0.0859273898765852
031,97,46.7,16.2,1471484.11508736,0.022014885473256
032,319,46,14.6,19896868.5924071,0.14866351033601
032,320,46,14.7,32459403.6886227,0.242527052603934
032,353,45.9,14.6,27661740.4360613,0.206680333446929
032,354,45.9,14.7,53664126.0521985,0.400962459041339
032,355,45.9,14.8,156141.70341089,0.00116664457178781
033,29,46.9,16.2,11945866.3109417,0.205382879803988
033,30,46.9,16.3,8679227.13930853,0.149220208727047
033,63,46.8,16.2,6912675.92581299,0.118848248577399
033,64,46.8,16.3,30626116.1549143,0.526548662891566
034,256,46.2,15.1,12332004.9790099,0.210658454412682
034,257,46.2,15.2,112218.913667879,0.00191695210546725
034,290,46.1,15.1,36941104.1783166,0.631037363652349
034,291,46.1,15.2,9154952.27707735,0.156387229829502
035,448,45.6,13.9,43959643.7700658,0.225723163897007
035,449,45.6,14,65412351.8610729,0.335878131707697
035,450,45.6,14.1,28251135.5127715,0.145063406905227
035,482,45.5,13.9,172574.918977966,0.000886134494736324
035,483,45.5,14,23063887.0167503,0.118428019490208
035,484,45.5,14.1,33890662.1051762,0.174021143505124
036,278,46.1,13.9,9774648.40082328,0.0333102776659819
036,279,46.1,14,17701028.8292547,0.0603219840855209
036,280,46.1,14.1,1406047.25826275,0.0047915610530073
036,312,46,13.9,60050014.6265798,0.204639858032047
036,313,46,14,86096919.9145984,0.293403117016417
036,314,46,14.1,53679218.4896743,0.182929308499052
036,346,45.9,13.9,1276522.00062026,0.00435016182104455
036,347,45.9,14,29709394.4281074,0.10124437597214
036,348,45.9,14.1,33748623.3996121,0.115009355854789
037,317,46,14.4,113650.449124882,0.00115326221169489
037,318,46,14.5,33700107.8945227,0.341970148504103
037,319,46,14.6,1338415.27901694,0.0135815016722831
037,352,45.9,14.5,48488404.0918846,0.492033639771335
037,353,45.9,14.6,14906351.138565,0.151261447840584
038,418,45.7,14.3,9087537.21362166,0.0189344997441213
038,419,45.7,14.4,5285005.75662479,0.0110116677152633
038,450,45.6,14.1,32503955.3692494,0.067724194152346
038,451,45.6,14.2,68382351.7054902,0.142479264781355
038,452,45.6,14.3,86368831.9079358,0.179955315419184
038,453,45.6,14.4,75014697.9297016,0.156298207684501
038,454,45.6,14.5,14001368.3299582,0.0291727999378709
038,484,45.5,14.1,24304812.9952003,0.0506407252724892
038,485,45.5,14.2,55196535.360558,0.115005722682962
038,486,45.5,14.3,58016398.6373765,0.120881098952491
038,487,45.5,14.4,43906612.7910997,0.0914824037707563
038,488,45.5,14.5,7877881.41033089,0.0164140998866602
039,320,46,14.7,11842162.9643603,0.0521663501202457
039,321,46,14.8,45292056.8000026,0.199517714779449
